aga00010	aga00020	aga00030	aga00040	aga00051	aga00052	aga00053	aga00061	aga00062	aga00071	aga00100	aga00130	aga00190	aga00220	aga00230	aga00232	aga00240	aga00250	aga00260	aga00270	aga00280	aga00290	aga00310	aga00330	aga00340	aga00350	aga00360	aga00380	aga00400	aga00410	aga00430	aga00440	aga00450	aga00470	aga00480	aga00500	aga00510	aga00511	aga00512	aga00513	aga00514	aga00515	aga00520	aga00531	aga00532	aga00533	aga00534	aga00561	aga00562	aga00563	aga00564	aga00565	aga00590	aga00592	aga00600	aga00601	aga00603	aga00604	aga00620	aga00630	aga00640	aga00650	aga00670	aga00730	aga00740	aga00750	aga00760	aga00770	aga00780	aga00785	aga00790	aga00830	aga00860	aga00900	aga00910	aga00920	aga00970	aga00980	aga00981	aga00982	aga00983	aga01040	aga01100	aga01200	aga01210	aga01212	aga01230	aga01232	aga01240	aga01250	aga02010	aga03008	aga03010	aga03013	aga03015	aga03018	aga03020	aga03022	aga03030	aga03040	aga03050	aga03060	aga03250	aga03266	aga03410	aga03420	aga03430	aga03440	aga03450	aga03460	aga04013	aga04068	aga04070	aga04080	aga04120	aga04122	aga04130	aga04136	aga04137	aga04140	aga04141	aga04142	aga04144	aga04145	aga04146	aga04150	aga04213	aga04214	aga04215	aga04310	aga04320	aga04330	aga04341	aga04350	aga04391	aga04392	aga04512	aga04624	aga04711	aga04745	aga04814
C16255	C16255	C00673	C00309	C01934	C00159	C01146	C05745	C05260	C05276	C01724	C00082	C00013	C20950	C00294	C21144	C20846	C00940	C00037	C02989	C00024	C04236	C00047	C00884	C01152	C00788	C05607	C02700	C00254	C02335	C00026	C05680	C06481	C00036	C05726	C00092							C00999					C06037	C01277		C00189	C00958	C13809	C16319	C00550				C00186	C02405	C00091	C00356		C05856	C21215	C06051	C00003	C04079	C20377		C05926	C16677	C05795	C11437	C00088	C00033	C00101	C14865	C09694	C16548	C16623	C06428	C22557	C00117	C00624	C05756	C04272	C00559	C00025	C22254	C00259																						C00416	C00075		C00979																									
C15973	C15973	C00118	C00474	C03979	C00794	C00022	C00229	C05261	C01944	C05109	C01179	C00536	C20951	C00262	C16361	C02376	C03912	C00188	C01180	C00091	C00233	C00990	C00581	C01262	C05588	C06207	C00463	C00826	C00386	C00084	C06459	C18870	C00079	C05727	C00689							C00996					C06038	C05981		C03872	C04475	C14772	C04780	C06125				C00256	C06049	C02225	C00332		C04294	C21214	C06052	C00857	C01053	C20378		C05925	C16678	C05787	C16826	C00014	C00065	C03294	C14861	C01126	C16545	C16622	C16522	C22556	C00199	C00437	C05757	C00141	C00360	C00064	C22255	C00047																						C00641	C00008																											
C05378	C00074	C05378	C00231	C00118	C05396	C00679	C05746	C05259	C01371	C04525	C03964	C00002	C00025	C00008		C21028	C00352	C00109	C03539	C03284	C00123	C03087	C00300	C00386	C05584	C05852	C03574	C00166	C00135	C14179	C05676	C18872	C05620	C00077	C01083							C04573					C04315	C01194		C00093	C05977	C14773	C16311	C06128				C03451	C00798	C00042	C00164		C00037	C00235	C04106	C00455	C01088	C20683		C05924	C16683	C06508	C04574	C00244	C08276	C00065	C14864	C16509	C16547	C05361	C06427	C10216	C00231	C19886	C05758	C00183	C00206	C02637	C22256	C00062																						C04549	C00015																											
C06186		C01172	C00310	C00096	C01113	C00879	C05747	C05258	C00340	C11455	C00223	C00001		C01260		C21029	C03090	C03082	C00409	C06002		C01142	C02305	C00135	C05580	C04148	C03230	C16850	C05340	C19685	C06456	C18871	C00166	C00134	C00663							C06023					C06365	C00641		C00269	C20859	C14774	C16316	C06126				C00937	C00313	C04593	C01089		C00003	C01390	C06054	C01185	C00049	C20384		C05923	C16680	C05791	C17432	C00088	C00155	C02553	C06755	C16502	C07108	C07649	C02050	C02183	C06019	C19889	C05223	C06006	C00131	C00493	C04573	C00077																						C05981	C00334																											
C06187		C01236	C00199	C05345	C00031	C00433	C05748	C05272	C05275	C15915	C02949	C00042		C00224		C01205	C00014	C00065	C00065	C00349		C01186	C00791	C05127	C05577	C04479	C02693	C00441	C05341		C17945	C18893	C02265	C00315	C00031							C00461					C20897	C03659		C01194	C20825	C14775	C16322	C06127				C00424	C00417	C00024	C04546		C00018		C06055	C03722	C18911	C20385		C05922	C16679	C03194	C00448	C00244	C01118	C00049	C14857	C16504	C05011	C12673	C16532	C22567	C00022	C00022	C05759	C06007	C01345	C00251	C20395	C00049																						C01277	C12270																											
C06188		C06473	C00476	C00976	C00124	C00026	C05749	C00154	C05274	C05108	C05847			C00053		C00475	C12270	C00048	C00979	C02170		C03656	C02565	C05135	C05576	C00042	C05646	C16848	C03722		C06367	C05686	C03564	C02090	C02995							C00734					C03692	C03660		C00513		C14768	C16345	C03405				C00546	C00311	C05979	C03561		C20246		C00847	C00111	C03492	C20386		C01217	C21797	C06320	C04216	C00088	C00042	C02984	C14858		C16546	C16630	C16532	C01744	C00074	C00141	C04688	C00671	C01344	C00254	C20359	C00025																						C01194	C00334																											
C01451		C05345	C00508	C01222	C05404	C00259	C05752	C00249	C05264	C15777	C05427			C00059		C00055	C20776	C01102	C00097	C01213		C00739	C01043	C03277	C05594	C00582	C00643	C01094	C00804		C06368	C18905	C01110	C03170	C00089							C01674					C06364	C04287		C00681		C14769	C00157	C22467				C00022	C00042	C00479	C01144		C00037		C11638	C00049	C05944	C20387		C06148		C03516	C04146	C00697	C00263	C00037	C14860		C16550	C16631	C16531	C00774	C00119	C00183	C05760	C00407	C06196	C01179	C19725	C00064																						C11555	C00025																											
C00036		C00672	C00532	C02985	C01613	C00684	C05751	C20876	C00010	C15808	C19847			C00242		C00112	C00158	C03508	C00283	C00683		C02188	C00213	C05568	C22038	C05593	C00078	C00354	C00555		C17947	C00041	C03341	C00005	C01083							C00329					C01885	C16737		C00416		C14770	C16344					C00036	C01127	C00111	C02331		C20247		C06056	C00122	C06010	C00086		C18239		C11538	C04145	C00887	C00245	C02412	C11036		C07644	C16632	C16531	C01087	C00014	C00233	C05761	C02504	C05512	C00082	C19745	C00064																						C11174	C00049																											
C01159		C00577	C03291	C05392	C00118	C00545	C04620	C00083	C05265	C15780	C13309			C00330		C00015	C20775	C00263	C05824	C00100		C05544	C00086	C05571	C04797	C02505	C00332	C20653	C00334		C17948		C03943	C00006	C00963							C00203					C02457	C06892		C00093		C14771	C16323					C00068	C00022	C00583	C06143		C00022		C00064	C01384	C05665	C22458		C20239		C06406	C01230	C00533	C15521	C00148	C14842		C06754	C16634	C16530	C02247	C01217	C00123	C05762	C04411	C00330	C00078	C22246	C00062																						C20690	C00506																											
C00118		C00258	C01508	C02977	C00111	C01114	C05750	C02843	C00435	C15816	C02059			C00362		C00460		C00441	C00059	C03344		C01211	C03166	C05570	C01850	C00642	C01144	C20654	C01262		C17949		C03771	C05422	C00718							C00329					C00969	C06893		C03372		C14778	C16324					C00122	C01990	C00424	C00989		C20784			C01596	C00750			C20248		C06509	C00353	C00697	C00059	C02702	C14844		C07643	C16633	C16530	C22101	C18802	C00109	C04633	C00233	C00362	C03373	C13952	C00077																							C02165																											
C00068		C00631	C01101	C03117	C03785	C20889	C05753	C20876	C00226	C01189	C05427			C00039		C01346		C00740	C00051	C03345		C05545	C18172	C05575	C04796	C05598	C00877	C20327	C00106		C17950		C00077	C00072	C00031							C00140					C06040	C00222		C05973		C14732	C16321					C00042	C01989	C05235	C00232		C19872			C01059				C15996		C06510	C05427	C00014	C00245	C00097	C14845		C16558	C11736	C00510	C01667	C00283	C00671	C05763	C00123	C00286	C00130	C00203	C00491																							C06124																											
		C00231	C00259	C00095	C01097	C20896	C04619	C20879	C05262	C01164	C00828			C00286		C00365		C00022	C02218	C05996		C04487	C00441	C00785	C06047	C05332	C00527	C17235	C03492		C17952		C01667	C16664	C00185							C02336					C06041	C00024		C04438		C14782	C16342					C00469	C02123	C00546	C00334		C20267			C01020				C16675		C00194	C18321	C00014	C15521	C03125	C14847		C16559	C04242	C16529	C15699	C01438	C00407	C05764	C00188	C00361	C00044	C22245	C00025																							C01120																											
		C00231	C01904	C00794	C01697	C01620	C05754	C20878	C01832	C05443	C05847			C00361		C00881		C00011	C00506	C00630		C05546	C18174	C05572	C06048	C07086	C00322	C00587			C17951		C00062	C16663	C01725							C00461					C04046	C00111		C05976		C14814	C16341						C03217	C06002	C00025					C00253				C18802		C03114	C19852	C00088	C00059	C00025	C14846		C01471	C12739	C16529	C01010	C00132	C01180	C00249	C00065	C03794	C01304	C00842	C00151																							C00681																											
		C00199	C00618	C00636	C05796	C03064	C05755	C20877	C00010	C05103	C04145			C00046		C00239		C00430	C05528	C03460		C03793	C03375	C00026	C17937	C00601	C02220	C20710			C04650		C00792	C00750	C06215							C01170					C06042	C00118		C00040		C14781	C16308						C00026	C15973	C06142					C02918				C02587		C04778	C19853	C00244	C00053	C02987	C14848		C07647	C16635	C16529	C07204	C00067	C00073	C16219	C00037	C00105	C01268	C11907	C04137																							C01598																											
		C06019	C00714	C05378	C00795	C16186	C05223	C00024	C05263	C05437	C17570			C00035		C00705		C00168	C11537	C06000		C01259	C00986	C16673	C17938	C11457	C03824	C00230			C06457		C00134	C16562	C00208							C20395					C20898	C11556		C05980		C14813	C16320						C00888	C15972	C06144					C03150				C21310		C05775	C04506	C00014	C00224	C00064	C14843		C16552	C16641	C16528	C07201	C00058	C17213	C16220	C03232	C00015	C04454	C00688	C01682																							C11695																											
		C20589	C00470	C02991	C00243	C14899	C05758	C00040	C03221	C05440	C14151			C04494		C00458		C00014	C00022	C06001		C01181	C00436	C16674	C17935	C02137	C03722				C17962		C00515	C16563	C00252							C20359					C20991	C11554		C05974		C14815	C06427						C00136	C21017	C06145					C05840				C19848		C00541	C19760	C00192	C00094	C02282	C14453		C07646	C16542	C16528	C11641	C00011	C17217	C16221	C01005	C00075	C04732	C03319	C00025																							C13856																											
		C03752	C02273	C01355	C01132	C05422	C05757	C00040	C00071	C01694	C02477			C01228		C03997		C00101	C11481	C00183		C00487	C00223	C03680	C17936	C00512	C04409				C17941		C00431	C16564	C16688							C19725					C00631	C20251		C02737		C04577	C16343						C00036	C00068	C06146					C05841				C18237		C02463	C19691	C00014	C00059	C00062	C14841		C16551	C16543	C16528	C01626	C01001	C17221	C00412	C00979	C00299	C04332	C03187	C00049																							C00002																											
		C00197	C06118	C01019	C06376	C01041	C05756	C00154	C00010	C03845	C16695			C00144		C11038		C01888	C00491	C00141		C01149	C18326	C00439	C10447	C15524	C00632				C05674		C00148	C01672	C01898							C19745					C00103	C00137		C00350		C04742	C16346						C00332	C21018	C00741					C05380				C19871		C00025	C03461	C00697	C00224	C02163	C14840		C11583	C11173	C02041	C01091	C03920	C17225	C04088	C00097	C00106	C00255	C19960	C00062																							C00075																											
		C01182	C04053	C00111	C06377	C04575	C05759	C00658	C05260	C11522	C14152			C00387		C11039		C00546	C01962	C15977		C00037	C00406	C05565	C00164	C00082	C02470				C05675		C00763	C16565	C00760							C19823					C02133	C19891		C01241		C06315	C16310						C03561	C21250	C11062					C05843				C21485		C02987	C01126	C00088	C00094	C00079	C14040		C16554	C11376	C02041	C02673	C00218	C17229	C02041	C00049	C00055	C00061	C19947	C00135																							C00008																											
