aga00010	aga00020	aga00030	aga00040	aga00051	aga00052	aga00053	aga00061	aga00062	aga00071	aga00100	aga00130	aga00190	aga00220	aga00230	aga00232	aga00240	aga00250	aga00260	aga00270	aga00280	aga00290	aga00310	aga00330	aga00340	aga00350	aga00360	aga00380	aga00400	aga00410	aga00430	aga00440	aga00450	aga00470	aga00480	aga00500	aga00510	aga00511	aga00512	aga00513	aga00514	aga00515	aga00520	aga00531	aga00532	aga00533	aga00534	aga00561	aga00562	aga00563	aga00564	aga00565	aga00590	aga00592	aga00600	aga00601	aga00603	aga00604	aga00620	aga00630	aga00640	aga00650	aga00670	aga00730	aga00740	aga00750	aga00760	aga00770	aga00780	aga00785	aga00790	aga00830	aga00860	aga00900	aga00910	aga00920	aga00970	aga00980	aga00981	aga00982	aga00983	aga01040	aga01100	aga01200	aga01210	aga01212	aga01230	aga01232	aga01240	aga01250	aga02010	aga03008	aga03010	aga03013	aga03015	aga03018	aga03020	aga03022	aga03030	aga03040	aga03050	aga03060	aga03250	aga03266	aga03410	aga03420	aga03430	aga03440	aga03450	aga03460	aga04013	aga04068	aga04070	aga04080	aga04120	aga04122	aga04130	aga04136	aga04137	aga04140	aga04141	aga04142	aga04144	aga04145	aga04146	aga04150	aga04213	aga04214	aga04215	aga04310	aga04320	aga04330	aga04341	aga04350	aga04391	aga04392	aga04512	aga04624	aga04711	aga04745	aga04814
																																																																																		C02679																																																										
																																																																																		C01571																																																										
																																																																																		C06423																																																										
																																																																																		C16678																																																										
																																																																																		C16677																																																										
																																																																																		C22289																																																										
																																																																																		C16666																																																										
																																																																																		C10434																																																										
																																																																																		C02947																																																										
																																																																																		C15895																																																										
																																																																																		C15902																																																										
																																																																																		C15905																																																										
																																																																																		C15903																																																										
																																																																																		C15900																																																										
																																																																																		C15898																																																										
																																																																																		C15892																																																										
																																																																																		C15885																																																										
																																																																																		C15884																																																										
																																																																																		C15881																																																										
																																																																																		C15879																																																										
																																																																																		C15878																																																										
																																																																																		C15877																																																										
																																																																																		C15874																																																										
																																																																																		C15888																																																										
																																																																																		C15887																																																										
																																																																																		C15886																																																										
																																																																																		C19795																																																										
																																																																																		C08607																																																										
																																																																																		C19892																																																										
																																																																																		C08613																																																										
																																																																																		C15867																																																										
																																																																																		C08606																																																										
																																																																																		C00974																																																										
																																																																																		C11894																																																										
																																																																																		C11901																																																										
																																																																																		C06089																																																										
																																																																																		C05427																																																										
																																																																																		C11857																																																										
																																																																																		C11874																																																										
																																																																																		C11860																																																										
																																																																																		C20530																																																										
																																																																																		C20529																																																										
																																																																																		C20527																																																										
																																																																																		C20526																																																										
																																																																																		C20525																																																										
																																																																																		C15810																																																										
																																																																																		C15813																																																										
																																																																																		C11437																																																										
																																																																																		C15814																																																										
																																																																																		C15809																																																										
																																																																																		C20246																																																										
																																																																																		C20784																																																										
																																																																																		C04327																																																										
																																																																																		C04294																																																										
																																																																																		C02892																																																										
																																																																																		C05856																																																										
																																																																																		C01279																																																										
																																																																																		C04752																																																										
																																																																																		C04556																																																										
																																																																																		C20776																																																										
																																																																																		C12270																																																										
																																																																																		C01042																																																										
																																																																																		C20775																																																										
																																																																																		C21105																																																										
																																																																																		C07103																																																										
																																																																																		C06337																																																										
																																																																																		C00682																																																										
																																																																																		C02501																																																										
																																																																																		C02359																																																										
																																																																																		C03203																																																										
																																																																																		C11427																																																										
																																																																																		C11426																																																										
																																																																																		C11425																																																										
																																																																																		C03164																																																										
																																																																																		C04468																																																										
																																																																																		C11422																																																										
																																																																																		C03012																																																										
																																																																																		C00829																																																										
																																																																																		C04314																																																										
																																																																																		C06204																																																										
																																																																																		C06203																																																										
																																																																																		C06202																																																										
																																																																																		C00805																																																										
																																																																																		C06321																																																										
																																																																																		C16482																																																										
																																																																																		C04390																																																										
																																																																																		C04421																																																										
																																																																																		C04462																																																										
																																																																																		C01416																																																										
																																																																																		C03383																																																										
																																																																																		C00880																																																										
																																																																																		C00320																																																										
																																																																																		C02426																																																										
																																																																																		C15930																																																										
																																																																																		C00989																																																										
																																																																																		C11062																																																										
																																																																																		C01904																																																										
																																																																																		C00331																																																										
																																																																																		C01490																																																										
																																																																																		C00401																																																										
																																																																																		C00634																																																										
																																																																																		C00426																																																										
																																																																																		C20258																																																										
																																																																																		C20386																																																										
																																																																																		C20373																																																										
																																																																																		C20374																																																										
																																																																																		C20377																																																										
																																																																																		C20378																																																										
																																																																																		C19846																																																										
																																																																																		C20683																																																										
																																																																																		C14899																																																										
																																																																																		C16186																																																										
																																																																																		C00114																																																										
																																																																																		C01113																																																										
																																																																																		C05396																																																										
																																																																																		C01216																																																										
																																																																																		C01286																																																										
																																																																																		C06311																																																										
																																																																																		C01929																																																										
																																																																																		C00860																																																										
																																																																																		C03289																																																										
																																																																																		C05422																																																										
																																																																																		C01041																																																										
																																																																																		C00072																																																										
																																																																																		C00566																																																										
																																																																																		C00479																																																										
																																																																																		C06210																																																										
																																																																																		C03453																																																										
																																																																																		C08062																																																										
																																																																																		C03589																																																										
																																																																																		C00596																																																										
																																																																																		C15858																																																										
																																																																																		C19759																																																										
																																																																																		C15857																																																										
																																																																																		C19764																																																										
																																																																																		C19765																																																										
																																																																																		C20253																																																										
																																																																																		C20249																																																										
																																																																																		C20231																																																										
																																																																																		C20199																																																										
																																																																																		C04844																																																										
																																																																																		C04793																																																										
																																																																																		C19944																																																										
																																																																																		C14909																																																										
																																																																																		C20144																																																										
																																																																																		C04442																																																										
																																																																																		C07712																																																										
																																																																																		C18231																																																										
																																																																																		C19929																																																										
																																																																																		C04002																																																										
																																																																																		C05662																																																										
																																																																																		C03427																																																										
																																																																																		C18911																																																										
																																																																																		C03114																																																										
																																																																																		C01847																																																										
																																																																																		C12137																																																										
																																																																																		C00389																																																										
																																																																																		C05903																																																										
																																																																																		C03648																																																										
																																																																																		C18202																																																										
																																																																																		C00755																																																										
																																																																																		C07303																																																										
																																																																																		C05610																																																										
																																																																																		C12204																																																										
																																																																																		C02666																																																										
																																																																																		C01514																																																										
																																																																																		C05608																																																										
																																																																																		C01477																																																										
																																																																																		C00509																																																										
																																																																																		C06561																																																										
																																																																																		C08579																																																										
																																																																																		C00777																																																										
																																																																																		C02110																																																										
																																																																																		C15970																																																										
																																																																																		C06082																																																										
																																																																																		C13455																																																										
																																																																																		C08614																																																										
																																																																																		C06098																																																										
																																																																																		C02094																																																										
																																																																																		C04236																																																										
																																																																																		C04628																																																										
																																																																																		C04832																																																										
																																																																																		C00862																																																										
																																																																																		C01001																																																										
																																																																																		C01274																																																										
																																																																																		C04330																																																										
																																																																																		C01080																																																										
																																																																																		C00876																																																										
																																																																																		C04488																																																										
																																																																																		C18799																																																										
																																																																																		C01438																																																										
																																																																																		C11882																																																										
																																																																																		C11887																																																										
																																																																																		C00993																																																										
																																																																																		C01114																																																										
																																																																																		C00545																																																										
																																																																																		C00684																																																										
																																																																																		C00433																																																										
																																																																																		C00679																																																										
																																																																																		C05604																																																										
																																																																																		C16334																																																										
																																																																																		C00573																																																										
																																																																																		C04351																																																										
																																																																																		C01575																																																										
																																																																																		C16719																																																										
																																																																																		C02765																																																										
																																																																																		C08300																																																										
																																																																																		C08301																																																										
																																																																																		C05672																																																										
																																																																																		C05123																																																										
																																																																																		C01717																																																										
																																																																																		C05773																																																										
																																																																																		C11545																																																										
																																																																																		C16244																																																										
																																																																																		C11543																																																										
																																																																																		C11542																																																										
																																																																																		C16243																																																										
																																																																																		C16242																																																										
																																																																																		C11540																																																										
																																																																																		C17401																																																										
																																																																																		C11538																																																										
																																																																																		C06505																																																										
																																																																																		C06504																																																										
																																																																																		C06503																																																										
																																																																																		C06399																																																										
																																																																																		C06408																																																										
																																																																																		C06319																																																										
																																																																																		C06320																																																										
																																																																																		C06416																																																										
																																																																																		C06407																																																										
																																																																																		C06406																																																										
																																																																																		C05772																																																										
																																																																																		C05778																																																										
																																																																																		C02463																																																										
																																																																																		C16540																																																										
																																																																																		C16541																																																										
																																																																																		C18151																																																										
																																																																																		C05307																																																										
																																																																																		C05306																																																										
																																																																																		C02139																																																										
																																																																																		C10860																																																										
																																																																																		C12448																																																										
																																																																																		C15793																																																										
																																																																																		C15801																																																										
																																																																																		C15800																																																										
																																																																																		C15792																																																										
																																																																																		C01829																																																										
																																																																																		C02515																																																										
																																																																																		C02465																																																										
																																																																																		C01060																																																										
																																																																																		C17938																																																										
																																																																																		C05895																																																										
																																																																																		C00184																																																										
																																																																																		C05484																																																										
																																																																																		C05480																																																										
																																																																																		C05479																																																										
																																																																																		C02004																																																										
																																																																																		C09629																																																										
																																																																																		C16829																																																										
																																																																																		C09699																																																										
																																																																																		C06394																																																										
																																																																																		C09621																																																										
																																																																																		C16143																																																										
																																																																																		C09704																																																										
																																																																																		C17552																																																										
																																																																																		C17551																																																										
																																																																																		C05807																																																										
																																																																																		C03428																																																										
																																																																																		C01852																																																										
																																																																																		C01433																																																										
																																																																																		C06071																																																										
																																																																																		C06070																																																										
																																																																																		C01500																																																										
																																																																																		C17621																																																										
																																																																																		C17622																																																										
																																																																																		C09804																																																										
																																																																																		C00501																																																										
																																																																																		C06893																																																										
																																																																																		C03506																																																										
																																																																																		C01269																																																										
																																																																																		C03771																																																										
																																																																																		C02647																																																										
																																																																																		C01035																																																										
																																																																																		C02565																																																										
																																																																																		C01043																																																										
																																																																																		C00213																																																										
																																																																																		C03906																																																										
																																																																																		C00827																																																										
																																																																																		C16317																																																										
																																																																																		C03968																																																										
																																																																																		C05290																																																										
																																																																																		C05297																																																										
																																																																																		C00333																																																										
																																																																																		C00470																																																										
																																																																																		C02273																																																										
																																																																																		C00714																																																										
																																																																																		C00577																																																										
																																																																																		C06473																																																										
																																																																																		C01218																																																										
																																																																																		C06711																																																										
																																																																																		C02798																																																										
																																																																																		C05989																																																										
																																																																																		C11638																																																										
																																																																																		C07335																																																										
																																																																																		C03393																																																										
																																																																																		C00408																																																										
																																																																																		C00450																																																										
